# Time Picea Larix Shrub Sphagnum_hum Sphagnum_hol water_table
9.300000000000009592e+00 -3.927270080508201699e-01 1.420672811364874999e+00 3.720426132701649680e-01 -1.298061068928967055e-01 4.281615121226151621e-01 -1.957181716969861110e-02
9.302739726027407841e+00 -3.928425015673698839e-01 1.420177724662221364e+00 3.732440891960954743e-01 -1.302929037758853437e-01 4.294523665151536718e-01 -2.291947022260071992e-02
9.305479452054806089e+00 -3.929593323930778981e-01 1.419682639238612820e+00 3.744455644290098917e-01 -1.307948247566343980e-01 4.307303490657798384e-01 -2.637212232673391554e-02
9.308219178082204337e+00 -3.930777114980887332e-01 1.419187552080110271e+00 3.756470404196875501e-01 -1.313173360065983675e-01 4.319931060205697837e-01 -2.993244947542734666e-02
9.310958904109591927e+00 -3.931973570848040778e-01 1.418692467265568968e+00 3.768485164844390667e-01 -1.318557134485981996e-01 4.332428422748491048e-01 -3.357545363917766729e-02
9.313698630136979517e+00 -3.933185065828354032e-01 1.418197380384512707e+00 3.780499928018596356e-01 -1.324097990285793003e-01 4.344783251917938016e-01 -3.746447788287746855e-02
9.316438356164367107e+00 -3.934408781215419371e-01 1.417702292721096713e+00 3.792514678251532323e-01 -1.329741832313926786e-01 4.357033234471916483e-01 -4.151004253676231215e-02
9.319178082191754697e+00 -3.935648370021144205e-01 1.417207206753368975e+00 3.804529439219341835e-01 -1.335492890351316908e-01 4.369159944461241674e-01 -4.552078090165549706e-02
9.321917808219142287e+00 -3.936896492214518317e-01 1.416712120874788372e+00 3.816544201900929356e-01 -1.341411941023503973e-01 4.381187842644256869e-01 -4.949142342937054573e-02
9.324657534246529877e+00 -3.938163572282121772e-01 1.416217035109649469e+00 3.828558961984122599e-01 -1.347596450524362333e-01 4.393077000792604547e-01 -5.344889247530015125e-02
9.327397260273917468e+00 -3.939447926529068278e-01 1.415721947540170111e+00 3.840573723098815173e-01 -1.354034521609220332e-01 4.404813917009934854e-01 -5.737407436039664022e-02
9.330136986301305058e+00 -3.940748130325529286e-01 1.415226860312720270e+00 3.852588488884565177e-01 -1.360668693461415668e-01 4.416383929674629338e-01 -6.122317789566283225e-02
9.332876712328692648e+00 -3.942063401516672227e-01 1.414731774533609210e+00 3.864603248414968939e-01 -1.367358494995743190e-01 4.427780890498341781e-01 -6.499318669312212360e-02
9.335616438356080238e+00 -3.943393379599355320e-01 1.414236689030354377e+00 3.876618007527137255e-01 -1.374069029075561388e-01 4.438999007015411169e-01 -6.870343897537432853e-02
9.338356164383467828e+00 -3.944738970169403003e-01 1.413741602936667840e+00 3.888632765538116431e-01 -1.380779577612707421e-01 4.450052193938341394e-01 -7.235702669276204702e-02
9.341095890410855418e+00 -3.946098904371890814e-01 1.413246518158704612e+00 3.900647522397188705e-01 -1.387494710653868479e-01 4.460981427323626458e-01 -7.601923903165154484e-02
9.343835616438243008e+00 -3.947472320476183016e-01 1.412751433584015892e+00 3.912662280346877464e-01 -1.394229313455323527e-01 4.471824111790100309e-01 -7.990418289172933342e-02
9.346575342465630598e+00 -3.948853292613686561e-01 1.412256346726638245e+00 3.924677038669686646e-01 -1.400963911835118592e-01 4.482603417565018122e-01 -8.409929913203831320e-02
9.349315068493019965e+00 -3.950249675829954343e-01 1.411761261673406320e+00 3.936691805243419107e-01 -1.407698509924488195e-01 4.493301992605615580e-01 -8.834183528993548584e-02
9.352054794520407555e+00 -3.951662418935351639e-01 1.411266173361630294e+00 3.948706572940093862e-01 -1.414433115142856023e-01 4.503907363627705496e-01 -9.256556420657235940e-02
9.354794520547795145e+00 -3.953091999998655792e-01 1.410771086551562803e+00 3.960721330675489038e-01 -1.421167713197809823e-01 4.514416906895342696e-01 -9.675862751174248155e-02
9.357534246575182735e+00 -3.954538390805251158e-01 1.410276000112771211e+00 3.972736095078504004e-01 -1.427902314777882986e-01 4.524823370831945191e-01 -1.009211974516094623e-01
9.360273972602570325e+00 -3.956001574059478387e-01 1.409780913858542650e+00 3.984750865883427418e-01 -1.434649277919738397e-01 4.535126681407165017e-01 -1.050670331941881142e-01
9.363013698629957915e+00 -3.957476317177193170e-01 1.409285828204590585e+00 3.996765619644589984e-01 -1.441461625071383534e-01 4.545353371732201442e-01 -1.092461828454411726e-01
9.365753424657345505e+00 -3.958965761491324842e-01 1.408790742836298460e+00 4.008780394760985133e-01 -1.448389416520790840e-01 4.555484572637018004e-01 -1.136116743592039124e-01
9.368493150684733095e+00 -3.960469130557239814e-01 1.408295656579428456e+00 4.020795151461097894e-01 -1.455511882300982163e-01 4.565506300503399117e-01 -1.180982185934485451e-01
9.371232876712120685e+00 -3.961985615797952165e-01 1.407800569410129432e+00 4.032809917110253273e-01 -1.462822681861565832e-01 4.575417929223640767e-01 -1.226028618269500298e-01
9.373972602739508275e+00 -3.963511614951812367e-01 1.407305483851506445e+00 4.044824680664286798e-01 -1.470319765087045594e-01 4.585257374810263742e-01 -1.270844616070828936e-01
9.376712328766895865e+00 -3.965054385898491018e-01 1.406810396386573681e+00 4.056839444734521294e-01 -1.477953616192084763e-01 4.594979814508007854e-01 -1.315379884914799902e-01
9.379452054794283455e+00 -3.966608641683586067e-01 1.406315310393049245e+00 4.068854203996977725e-01 -1.485790394564996120e-01 4.604541735614197662e-01 -1.359549865494506793e-01
9.382191780821692362e+00 -3.968162159195508520e-01 1.405820222661625651e+00 4.080868962990425453e-01 -1.493844102815722330e-01 4.613931524314245358e-01 -1.403165552587009035e-01
9.384931506849099492e+00 -3.969719000517999419e-01 1.405325135016544769e+00 4.092883727215791967e-01 -1.502108873499448938e-01 4.623123957811874907e-01 -1.448403951815313007e-01
9.387671232876508398e+00 -3.971287631011793939e-01 1.404830050012171538e+00 4.104898486565199955e-01 -1.510577917411233539e-01 4.632128527518369343e-01 -1.497980447147925775e-01
9.390410958903915528e+00 -3.972871594972439691e-01 1.404334964244752459e+00 4.116913246180918806e-01 -1.519187175951812185e-01 4.641018162996532470e-01 -1.546775525042284605e-01
9.393150684931324435e+00 -3.974469847028666014e-01 1.403839877629037725e+00 4.128928006479055668e-01 -1.528045968172547231e-01 4.649774963347018120e-01 -1.593213449376428836e-01
9.395890410958731565e+00 -3.976073020103765843e-01 1.403344791370581213e+00 4.140942767509683264e-01 -1.537051540884167289e-01 4.658423211942508413e-01 -1.637868448869123084e-01
9.398630136986138695e+00 -3.977687915942459962e-01 1.402849705463209862e+00 4.152957527060197052e-01 -1.546308248199453339e-01 4.666861715544762812e-01 -1.682022061650886580e-01
9.401369863013547601e+00 -3.979315692313756814e-01 1.402354618669930053e+00 4.164972284629641086e-01 -1.555856502465158275e-01 4.675031071910622504e-01 -1.726166592006412315e-01
9.404109589040954731e+00 -3.980957072706770572e-01 1.401859533771970368e+00 4.176987047793166430e-01 -1.565708600493381786e-01 4.682930528584923757e-01 -1.769886026713739513e-01
9.406849315068363637e+00 -3.982607353846124854e-01 1.401364447806995317e+00 4.189001810646301727e-01 -1.575811602514243515e-01 4.690570919392232363e-01 -1.813214589021602818e-01
9.409589041095770767e+00 -3.984258816286695981e-01 1.400869361312298889e+00 4.201016572311339625e-01 -1.586129866272143751e-01 4.697970491878291077e-01 -1.856734377062360108e-01
9.412328767123179674e+00 -3.985915893039658764e-01 1.400374274137666575e+00 4.213031333121692867e-01 -1.596736402251975884e-01 4.705058360201128109e-01 -1.902258356407483253e-01
9.415068493150586804e+00 -3.987583358704543945e-01 1.399879188361285332e+00 4.225046097382731958e-01 -1.607636156715816222e-01 4.711739936229308867e-01 -1.949596952783856085e-01
9.417808219177995710e+00 -3.989263444428097771e-01 1.399384102766206617e+00 4.237060853886273626e-01 -1.618781719423837973e-01 4.718030675456071354e-01 -1.996699676866474649e-01
9.420547945205402840e+00 -3.990955276527750617e-01 1.398889017710615024e+00 4.249075620960537925e-01 -1.630225097922309296e-01 4.723963640972076439e-01 -2.043248020703344880e-01
9.423287671232809970e+00 -3.992659075470088581e-01 1.398393930843320199e+00 4.261090380420088919e-01 -1.642058927382208933e-01 4.729431909062270512e-01 -2.089334670993334975e-01
9.426027397260218876e+00 -3.994375414765234944e-01 1.397898843124160795e+00 4.273105136022271044e-01 -1.654184890094591576e-01 4.734576343664716469e-01 -2.135251884443896964e-01
9.428767123287626006e+00 -3.996105521553090512e-01 1.397403755760943778e+00 4.285119891262784142e-01 -1.666494361268342494e-01 4.739569518682849592e-01 -2.181400491398341746e-01
9.431506849315034913e+00 -3.997846478137502269e-01 1.396908669116951218e+00 4.297134649620671931e-01 -1.679080206856844448e-01 4.744257787333070464e-01 -2.227774092999065259e-01
9.434246575342442043e+00 -3.999594457563603322e-01 1.396413582452410429e+00 4.309149410525524027e-01 -1.691801701017393855e-01 4.748574865897940978e-01 -2.274223360077662071e-01
9.436986301369840291e+00 -4.001349464256362953e-01 1.395918496325277314e+00 4.321164178245124887e-01 -1.704733226967227455e-01 4.752581633062586963e-01 -2.320783319040452264e-01
9.439726027397238539e+00 -4.003114169955236390e-01 1.395423410644192064e+00 4.333178939865465207e-01 -1.717852862682504034e-01 4.756445935072330378e-01 -2.367309792128146073e-01
9.442465753424635011e+00 -4.004884358872793926e-01 1.394928325294044091e+00 4.345193703566811450e-01 -1.731210570999950071e-01 4.760128778355117718e-01 -2.413639559933396239e-01
9.445205479452033259e+00 -4.006667032059137989e-01 1.394433239271173353e+00 4.357208463627368356e-01 -1.744910137696542296e-01 4.763560761599301974e-01 -2.459940097995519936e-01
9.447945205479431507e+00 -4.008461908801109752e-01 1.393938153586351536e+00 4.369223223802148892e-01 -1.759017986908121278e-01 4.766636830990541585e-01 -2.505963419269195969e-01
9.450684931506829756e+00 -4.010264440393585539e-01 1.393443067126627799e+00 4.381237985632784326e-01 -1.773548433944111269e-01 4.769311389894786424e-01 -2.551600454578678567e-01
9.453424657534226228e+00 -4.012070877613205799e-01 1.392947982067241464e+00 4.393252755203674309e-01 -1.788499393514358382e-01 4.771559710264720588e-01 -2.596836735388958761e-01
9.456164383561624476e+00 -4.013885084067270181e-01 1.392452895476966157e+00 4.405267523307436206e-01 -1.803731617662252540e-01 4.773414930217092511e-01 -2.641590252150397000e-01
9.458904109589022724e+00 -4.015708248900138333e-01 1.391957809337778462e+00 4.417282285607730952e-01 -1.819081170382490786e-01 4.775090544759589273e-01 -2.686146835522537080e-01
9.461643835616420972e+00 -4.017538962024742588e-01 1.391462722265220719e+00 4.429297047219430961e-01 -1.834781235705602587e-01 4.776424549987356993e-01 -2.731081218388952681e-01
9.464383561643817444e+00 -4.019370673356307821e-01 1.390967635861604990e+00 4.441311810639572699e-01 -1.850859086254344199e-01 4.777325845001106353e-01 -2.777662993745909636e-01
9.467123287671215692e+00 -4.021199534890330107e-01 1.390472549691265991e+00 4.453326570532687434e-01 -1.867377676422209976e-01 4.777574209331172939e-01 -2.829967264201324606e-01
9.469863013698613941e+00 -4.023029041521813953e-01 1.389977463856923334e+00 4.465341332590709311e-01 -1.884285599546969003e-01 4.777118816412130320e-01 -2.875917034395418792e-01
9.472602739726012189e+00 -4.024857537830029974e-01 1.389482377408792990e+00 4.477356091556398687e-01 -1.901513805420355085e-01 4.776069914578575659e-01 -2.916674309204514426e-01
9.475342465753410437e+00 -4.026692045108044571e-01 1.388987289186190521e+00 4.489370840551657471e-01 -1.918902480446907644e-01 4.774743466211671672e-01 -2.956490639233562701e-01
9.478082191780806909e+00 -4.028538373924890337e-01 1.388492202260089181e+00 4.501385596973799808e-01 -1.936533965527663381e-01 4.773004004053126859e-01 -2.999013030113594214e-01
9.480821917808205157e+00 -4.030398257622797020e-01 1.387997114919595543e+00 4.513400356040784267e-01 -1.954537484463868546e-01 4.770621198867331936e-01 -3.040885570610056821e-01
9.483561643835603405e+00 -4.032264622545483346e-01 1.387502029268916415e+00 4.525415131847713157e-01 -1.972917457647371253e-01 4.767566739280343358e-01 -3.079252114752977221e-01
